GEF ID,Lead GEF Agency,Country,Geographic Scope,Project title,Project Short Title,Task Manager,Project Type,Current Project  Status,Focal Area_A,Subprogramme,PIF/Council Approval Date,Date of full project submission to GEF Secretariat,PPG  CEO Approval,UNEP signature date      (PPG),Expected/ Actual Completion date PPG,PPG WBSE,Project Preparation Grant (PPG),  Project CEO Approval/Endorsement Date,UNEP signature date  (Project),Date of latest signature date on the umbrella legal instrument,Expected Technical Completion date (Project),Revised Technical Completion date (Project),Actual Technical Completion date (Project),Expected Completion date (Validity of the LA),Number of Amendments to LA,Actual Completion date (Validity of the LA),Project WBSE,S1 Grant Code,P1 Grant Code,Project  Grant ,  Co-financing Amount ,  PA focal point  , FMO , FA Focal Point , Project mid-term review/evaluation status , Project terminal evaluation status  , Date of project financial closure , Fund , Branch , Comments  ,Technical completion date, Corporate Services(AG_Fee) , Project Cycle Activities(AG_Fee) , Portfolio_Total(AG_Fee) 
9759,UNEP,Macedonia,Europe,"Promoting Sustainable Land Management (SLM) Through Strengthening Legal and Institutional Framework, Capacity Building and Restoration of Most Vulnerable Mountain Landscapes ",Macedonia PPG,Ersin Esen,FSP,Under Implementation,Land Degradation,Ecosystem Management,30-Nov-17,,30-Oct-17,22-Jan-18,31-Dec-19, SB-009076,"$91,324.00",,20-Jul-20,18-Sep-20,30-Jun-24,,,30-Jun-25,,,SB-009076,S1-32GFL-000619,,"$3,662,545"," 21,858,895 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,06/30/2024," 36,625 "," 329,629 "," 366,255 "
9762,UNEP,Montenegro,Europe,Promoting Protected Areas Management through Integrated Marine and Coastal Ecosystems Protection in Coastal Area of Montenegro,Montenegro MSP,Ersin Esen,MSP,Under Implementation,Biodiversity,Ecosystem Management,21-Aug-17,,,,,,$0.00,21-Aug-17,07-Oct-17,23-Oct-17,,31-Dec-22,,31-Mar-21,1,30-Jun-22,SB-008509,S1-32GFL-000618,,"$1,602,940","12,453,675",Aska Ochiel ,George Saddimbah,Weldon Lemein,Under Implementation,,,GFL,Biodiversity and Land Branch (BLB),,12/31/2022," 16,029 "," 144,265 "," 160,294 "
9766,UNEP,Chile,Latin America and the Caribbean,Mainstreaming biodiversity conservation and sustainable landscape management of watersheds containing wetlands within Chile's South Center Biodiversity Hotspot through reformed coastal planning frameworks,Chile Coastal Landscapes/FSP,Robert Erath,FSP,Under Implementation,Multi-focal Areas(BD/LD),Ecosystem Management,30-Nov-17,,30-Oct-17,18-Apr-18,18-Apr-19,,"$150,000.00",29-Aug-19,15-Nov-19,15-Nov-19,14-Nov-24,,,31-Oct-25,,,SB-009511.01,S1-32GFL-000621,,"$5,146,804"," 19,991,990 ",Gloritzel Frangakis ,Janet Bwiza,Elizabeth Goro,Not Completed,N/A,,GFL ,Biodiversity and Land Branch (BLB),,11/14/2024," 51,468 "," 463,212 "," 514,680 "
9772,UNEP,The Gambia,Africa,"Land/Seascape planning and restoration to improve ecosystem services, and livelihoods, expand and effectively manage protected areas",Land/Seascape - Gambia,Adamou Bouhari,FSP,Under Implementation,Multi-focal Areas(LD/BD),Ecosystems Management,30-Nov-17,30-May-19,30-Oct-17,24-May-18,30-Mar-19,SB-010171,"$91,324.00",31-Mar-20,22-May-20,27-May-20,30-Apr-25,,,30-Apr-26,,,SB-015084,S1-32GFL-000621,2000002943,"$5,644,685"," 19,797,260 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,04/30/2025," 56,447 "," 508,022 "," 564,469 "
9785,UNEP,St Kitts and Nevis,Latin America and the caribbean,Improving Environmental Management through Sustainable Land Management in St. Kitts and Nevis,St Kitts SLM,Christopher Cox,FSP,Under Implementation,Multi-focal Areas(BD/LD/CCM),Ecosystem Management,30-Nov-17,,30-Oct-17,16-Mar-18,31-Dec-18,SB-009361.01,"$99,999.00",10-Mar-20,15-May-20,25-May-20,24-May-25,,,30-Jun-26,,,"SB-015014.01,SB-015014.02,SB-015014.03,SB-015014.04,SB-015014.05",S1-32GFL-000621,,"$3,015,982"," 22,695,288 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,05/24/2025," 30,160 "," 271,438 "," 301,598 "
9791,UNEP,Bahamas,Latin America and the Caribbean,Meeting the Challenge of 2020 in The Bahamas ,Bahamas 2020,Christopher Cox,FSP ,Under Implementation,Biodiversity,Ecosystem Management,30-Nov-17,,30-Oct-17,02-Mar-18,30-Apr-19,SB-009655.01,"$182,648.00",19-Feb-20,06-Apr-20,07-Apr-20,06-May-25,,,31-May-26,,,"SB-014811.01,SB-014811.02,SB-014811.03,SB-014811.04,SB-014811.05",S1-32GFL-000621,,"$6,243,004"," 11,972,306 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,05/06/2025," 62,430 "," 561,870 "," 624,300 "
9793,UNEP,Madagascar,Africa,Conservation and improvement of ecosystem services for the Atsinanana region through agroecology  and the promotion of sustainable energy production ,Atsinanana FSP,Victoria Luque,FSP,Under Implementation,Multi-focal Areas(BD/LD/CCM),Ecosystem Management,30-Nov-17,30-May-19,30-Oct-17,28-Mar-18,30-Mar-19,SB-009950,"$136,986.00",20-May-20,28-Aug-20,03-Sep-20,31-Jul-25,,,31-Jul-26,,,SB.009950.02,S1-32GFL-000621,,"$3,789,955"," 20,075,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,31-Jul-25,GFL,Biodiversity and Land Branch (BLB),,07/31/2025," 37,900 "," 341,096 "," 378,996 "
9802,UNEP,Democratic Republic of Congo,Africa,Promoting the effective management of Salonga National Park through creation of community forests and improving the well-being of local communities,Salonga,Adamou Bouhari,FSP,Under Implementation,Biodiversity,Ecosystems Management,30-Nov-17,30-May-19,30-Oct-17,13-Mar-18,30-Mar-19, SB-009726.01  ,"$150,000.00",01-Jul-20,28-Aug-20,29-Sep-20,30-Jul-25,,,31-Jul-26,,,SB-009726.02,S1-32GFL-000617,2000005025,"$5,694,749"," 22,860,710 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,07/30/2025," 56,947 "," 512,527 "," 569,475 "
9817,UNEP,"Regional(Botswana, Burundi, Central African Republic, Chad, Comoros, Congo, Democratic Republic of Congo, Djibouti, Eritrea, Ethiopia, Gabon, Kenya, Rwanda, South Sudan, Sudan, Tanzania, Uganda)",Africa,Support to Eligible Parties to Produce the Sixth National Report to the CBD (Africa-1),6NR,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,02-Jun-17,,,,,,$0.00,02-Jun-17,03-Oct-17,04-Jul-19,29-Feb-20,31-Aug-20,31-Aug-20,28-Feb-21,1,,SB-008720.03,,,"$1,963,500"," 1,265,000 ",Evelyn Machasio,Janet Bwiza,Serah Shaiya,N/A,Ongoing,,GFL,Biodiversity and Land Branch (BLB),17 Countries ,08/31/2020," 19,635 "," 176,715 "," 196,350 "
9822,UNEP,"Regional (Albania, Armenia, Azerbaijan, Bosnia-Herzegovina, Belarus, Georgia, Moldova, Montenegro, Macedonia, Mongolia, Serbia)",Europe,"Support to Eligible Parties to Produce the Sixth National Report to the CBD (Europe, CIS and Mongolia)",6NR,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,05-Jul-17,,,,,,$0.00,05-Jul-17,03-Oct-17,04-Jul-19,29-Feb-20,31-Aug-20,31-Aug-20,28-Feb-21,1,,SB-008720.02,,,"$1,270,500"," 880,000 ",Evelyn Machasio,Janet Bwiza,Serah Shaiya,N/A,Ongoing,,GFL,Biodiversity and Land Branch (BLB),17 Countries ,08/31/2020," 12,705 "," 114,345 "," 127,050 "
9823,UNEP,"Regional (Cook Islands, Fiji, Micronesia, Kiribati, Marshall Islands, Nauru, Niue, Palau, Tonga, Tuvalu, Vanuatu)",Asia Pacific,Support to Eligible Parties to Produce the Sixth National Report to the CBD (Pacific),6NR,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,20-Jun-17,,,,,,$0.00,20-Jun-11,03-Oct-17,04-Jul-19,29-Feb-20,31-Aug-20,31-Aug-20,28-Feb-21,1,,SB-008720.01,,,"$1,270,500"," 700,000 ",Evelyn Machasio,Janet Bwiza,Serah Shaiya,N/A,Ongoing,,GFL,Biodiversity and Land Branch (BLB),11 Countries ,08/31/2020," 12,705 "," 114,345 "," 127,050 "
9824,UNEP,"Regional(Benin, Burkina Faso, Cape Verde, Cote d'Ivoire, Equatorial Guinea, Gambia, Ghana, Guinea Bissau, Guinea Conakry, Liberia, Mali, Niger, Nigeria, Sao Tome and Principe, Senegal, Sierra Leone, Togo)",Africa,Support to Eligible Parties to Produce the Sixth National Report to the CBD (Africa-2),6NR,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,02-Jun-17,,,,,,$0.00,02-Jun-17,03-Oct-17,04-Jul-19,29-Feb-20,31-Aug-20,31-Aug-20,28-Feb-21,1,,SB-008720.04,,,"$1,963,500"," 1,420,000 ",Evelyn Machasio,Janet Bwiza,Serah Shaiya,N/A,Ongoing,,GFL,Biodiversity and Land Branch (BLB),17 Countries,08/31/2020," 19,635 "," 176,715 "," 196,350 "
9825,UNEP,Regional,Regional,Large-scale Assessment of Land Degradation to Guide Future Investment in SLM in the Great Green Wall Countries,SLM Great Green Wall AGHRYMET,Adamou Bouhari,MSP,Under Implementation,Land Degradation,Ecosystems Management,05-Jul-17,16-May-19,05-Jul-17,13-Dec-17,31-Dec-18,SB-013245.01,"$50,000.00",21-May-19,16-Oct-19,28-Oct-19,30-Sep-21,30-Sep-22,,30-Sep-22,,,SB-013245,S1-32GFL-000620,2000001014,"$1,045,890"," 12,171,000 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,09/30/2022," 10,459 "," 94,130 "," 104,589 "
9832,UNEP,"Global(Angola, Cameroon, Lesotho, Madagascar, Malawi, Maldives, Mauritius, Mozambique, Namibia, Nicaragua, Pakistan, Seychelles, Solomon Islands, South Africa, Swaziland, Zambia, Zimbabwe)",Global,"Support to Eligible Parties to Produce the Sixth National Report to the CBD - (Global: Africa-3, Maldives, Nicaragua, Pakistan and Solomon Islands)",6NR,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,02-Jun-17,,,,,,$0.00,02-Jun-17,03-Oct-17,04-Jul-19,29-Feb-20,31-Aug-20,31-Aug-20,28-Feb-21,1,,SB-008720.05,,,"$1,963,500"," 1,290,000 ",Evelyn Machasio,Janet Bwiza,Serah Shaiya,N/A,Ongoing,,OFL,Biodiversity and Land Branch (BLB),17 Countries,08/31/2020," 19,635 "," 176,715 "," 196,350 "
9858,UNEP,Global,Global,Supply Change: Promoting Reduction of Deforestation Impacts of Commodity Supply Chains,Supply Change MSP,Ersin Esen,MSP,Technically Completed,Biodiversity,Ecosystem Management,20-Jul-17,,20-Jul-17,05-Sep-17,30-Nov-18,SB-008421,"$50,000.00",09-Nov-17,09-Jan-18,09-Jan-18,31-Dec-19,30-Jun-20,30-Jun-20,31-Dec-20,,, SB-008421,S1-32GFL-000618,P1-33GFL-001291,"$1,000,000"," 2,000,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2020," 10,000 "," 90,000 "," 100,000 "
9860,UNEP,Cuba,Latin America and the Caribbean,Creation of Additional Biosafety Capacities that Lead to A Full Implementation of the Cartagena Protocol on Biosafety in Cuba,Cuba BS,Thais Narciso,MSP,Under Implementation,Biodiversity,Ecosystem Management,17-Jul-17,,,,,,$0.00,17-Jul-17,24-Mar-20,03-Apr-20,02-Apr-25,,,30-Apr-26,,,SB-014367,S1-32GFL-000618,,"$1,826,484","1,920,443",Gloritzel Frangakis ,Michael Atogoh,Elizabeth Goro,Not Completed,N/A,,GFL ,Biodiversity and Land Branch (BLB),,04/02/2025," 18,265 "," 164,384 "," 182,648 "
9866,UNEP,"Global (Antigua And Barbuda, Albania, Burkina Faso, Burundi, Benin, Bolivia, Bhutan, Botswana, Belarus, Congo, Cote d'Ivoire, Cameroon, Cuba, Djibouti, Dominican Republic, Egypt, Ethiopia, Fiji, Micronesia, Gabon, Gambia, Guinea, Guatemala, Guinea-Bissau, Guyana, India, Kenya, Kyrgyz Republic, Cambodia, Comoros, Kazakhstan, Lao PDR, Liberia, Lesotho, Moldova, Madagascar, Marshall Islands, Mali, Myanmar, Mongolia, Mauritania, Mauritius, Malawi, Mexico, Mozambique, Namibia, Niger, Philippines, Pakistan, Rwanda, Seychelles, Sudan, Sierra Leone, Senegal, Sao Tome and Principe, Swaziland, Togo, Tajikistan, Uganda, Vietnam, Vanuatu, Samoa, South Africa, Zambia, Congo DR)",Global,Support to Preparation of the Interim National Report on the Implementation of the Nagoya Protocol,Nagoya Protocol ,Alex Owusu-Biney,EA,Technically Completed,Biodiversity,Ecosystem Management,22-Aug-17,,,,,,$0.00,22-Aug-17,20-Sep-17,06-Mar-19,31-Dec-19,30-Jun-20,30-Jun-20,30-Jun-20,2,30-Jun-20,"SB-008499.12,SB-008499.08,SB-008499.11,SB-008499.38,SB-008499.37,SB-008499.41,SB-008499.42,SB-008499.35,SB-008499.22,SB-008499.23,SB-008499.27,SB-008499.29,SB-008499.26,SB-008499.18,SB-008499.17,SB-008499.15,SB-008499.14,SB-008499.13,SB-008499.54,SB-008499.55,SB-008499.34,SB-008499.43,SB-008499.47,SB-008499.01,SB-008499.02,SB-008499.03,SB-008499.04,SB-008499.05,SB-008499.06,SB-008499.07,SB-008499.08,SB-008499.09,SB-008499.16,SB-008499.19,SB-008499.20,SB-008499.21,SB-008499.24,SB-008499.25,SB-008499.30,SB-008499.31,SB-008499.32,SB-008499.33,SB-008499.36,SB-008499.46,SB-008499.40,SB-008499.50,SB-008499.48,SB-008499.51,SB-008499.52,SB-008499.45,SB-008499.44,SB-008499.53,SB-008499.49,SB-008499.28,SB-008499.39",S1-32GFL-000617,"P1-33GFL-001201,P1-33GFL-001184,P1-33GFL-001187,P1-33GFL-001323,P1-33GFL-001295,P1-33GFL-001326,P1-33GFL-001330,P1-33GFL-001284,P1-33GFL-001214,P1-33GFL-001215,P1-33GFL-001221,P1-33GFL-001223,P1-33GFL-001226,P1-33GFL-001207,P1-33GFL-001206,P1-33GFL-001204,P1-33GFL-001203,P1-33GFL-001202,P1-33GFL-001658,P1-33GFL-001668,P1-33GFL-001283,P1-33GFL-001344,P1-33GFL-001383,P1-33GFL-001175,P1-33GFL-001176,P1-33GFL-001177,P1-33GFL-001178,P1-33GFL-001181,P1-33GFL-001182,P1-33GFL-001183,P1-33GFL-001184,P1-33GFL-001185,P1-33GFL-001205,P1-33GFL-001208,P1-33GFL-001209,P1-33GFL-001213,P1-33GFL-001216,P1-33GFL-001219,P1-33GFL-001229,P1-33GFL-001230,P1-33GFL-001266,P1-33GFL-001282,P1-33GFL-001293,P1-33GFL-001378,P1-33GFL-001325,P1-33GFL-001579,P1-33GFL-001509,P1-33GFL-001584,P1-33GFL-001607,P1-33GFL-001346,P1-33GFL-001345,P1-33GFL-001614,P1-33GFL-001534,P1-33GFL-001222,P1-33GFL-001324","$1,430,000","1,100,000",Evelyn Machasio ,Janet Bwiza,Lilian Musyoka,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),65 Countries ,06/30/2020," 14,300 "," 128,700 "," 143,000 "
9882,UNEP,"Regional (Gabon, Kenya, Malawi, Mozambique, Zambia)",Africa,"Enhancing Legislative, Policy, and Criminal Justice Frameworks for Combating Poaching and Illegal Wildlife Trade in Africa","Gabon, Kenya, Malawi, Mozambique, Zambia - Illegal Wildlife Trade (Africa)",Jane Nimpamya,MSP,Technically Completed,Biodiversity,Ecosystem Management,28-Aug-17,,,,,,$0.00,28-Aug-17,21-Sep-17,21-Sep-17,30-Apr-20,,,30-Apr-20,,30-Apr-21,"SB-008493.01,SB-008493.02,SB-008493.03,SB-008493.04,SB-008493.05",S1-32GFL-000618,P1-33GFL-001173,"$1,000,000","1,105,000",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,04/30/2020," 10,000 "," 90,000 "," 100,000 "
9915,UNEP,Global,Global,Global Support Programme II: Strengthening UNCCD Reporting -Enhancing Implementation of the UNCCD,Global Support UNCCD - GSP II,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,16-Nov-17,27-Oct-17,,,,,$0.00,16-Nov-17,13-Dec-17,20-Dec-17,30-Oct-19,30-Oct-22,,30-Oct-22,2,30-Oct-22,SB-008878,S1-32GFL-000620,P1-33GFL-001272,"$1,826,484"," 1,945,000 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,10/30/2022," 18,265 "," 164,384 "," 182,648 "
9926,UNEP,Congo DR,Africa,"Effective National Implementation of Access and Benefit Sharing (ABS) in accordance with the Nagoya Protocol and Valorization of Botanical Plants (Medicinal, Cosmetic and Neutraceutical) in the Democratic Republic of Congo (DRC)",ABS DR-Congo,Adamou Bouhari,MSP,Under Implementation,Biodiversity,Ecosystems Management,25-Sep-17,01-Sep-18,25-Sep-17,13-Dec-17,31-Dec-18,SB-008831,"$45,662.00",04-Mar-19,30-Apr-19,07-May-19,30-Apr-22,,,30-Oct-22,,,SB-008831.02,S1-32GFL-000620,2000000421,"$2,000,000"," 7,035,000 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,04/30/2022," 20,000 "," 180,000 "," 200,000 "
9978,UNEP,Dominica,Latin America and the caribbean,Strengthening Resilience of Agricultural Lands and Forests in Dominica in the Aftermath of Hurricane Maria,Dominica Hurricane Maria,Christopher Cox,MSP,Under Implementation,Biodiversity,Ecosystem Management,02-Feb-18,,02-Feb-18,14-Mar-18,31-Dec-18,SB-009724.01,"$50,000.00",24-Jun-19,09-Sep-19,16-Sep-19,15-Sep-22,,,30-Sep-23,,,"SB-009724.02,SB-009724.03,SB-009724.04,SB-009724.05,SB-009724.06,",S1-32GFL-000620,,"$1,576,484"," 2,015,000 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,09/15/2022," 15,765 "," 141,884 "," 157,648 "
9979,UNEP,"Regional (Antigua And Barbuda, Dominica, Grenada, St.Lucia)",Latin America and the Caribbean,Advancing Conservation in the Eastern Caribbean,CCN Caribbean,Christopher Cox,MSP,Under Implementation,Biodiversity,Ecosystem Management,20-Jun-18,,20-Jun-18,09-Aug-18,31-Dec-19,SB-010774.01,"$50,000.00",24-Sep-19,13-Nov-19,20-Nov-19,19-Nov-22,,,31-Oct-23,,31-Oct-23,"SB-013550.01,SB-013550.02,SB-013550.03,SB-013550.04",S1-32GFL-000618,,"$1,866,700"," 2,185,000 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,Not Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),,11/19/2022," 18,667 "," 168,003 "," 186,670 "
9980,UNEP,"Global (Albania, Armenia, Botswana, Belarus, Georgia, Iraq, Kenya, Kyrgyz Republic, Kazakhstan, SriLanka, Moldova, Macedonia, Myanmar, Maldives, Malawi, Philippines, Palau, Swaziland, Chad,Tajikistan, Turkmenistan, Ukraine, Uzbekistan, Serbia, Zimbabwe)",Global,GEF Support to UNCCD 2018 National Reporting Process - Umbrella II,UNCCD II,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,02-Apr-18,20-Feb-18,,,,,$0.00,02-Apr-18,26-Apr-18,23-Aug-19,30-Mar-20,30-Jun-23,,31-Dec-23,1,,"SB-009985.02.03,SB-009985.02.10,SB-009985.02.15,SB-009985.02.23,SB-009985.02.14,SB-009985.02.17,SB-009985.02.22,SB-009985.02.08,SB-009985.02.01,SB-009985.02.02,SB-009985.02.03,SB-009985.02.04,SB-009985.02.05,SB-009985.02.06,SB-009985.02.07,SB-009985.02.09,SB-009985.02.10,SB-009985.02.12,SB-009985.02.13,SB-009985.02.15,SB-009985.02.16,SB-009985.02.18,SB-009985.02.19,SB-009985.02.21,SB-009985.02.24,SB-009985.02.25",S1-32GFL-000639,"P1-33GFL-001438,P1-33GFL-001428,P1-33GFL-001476,P1-33GFL-001475,P1-33GFL-001450,P1-33GFL-001521,P1-33GFL-001495,P1-33GFL-001427,P1-33GFL-001508,P1-33GFL-001438,P1-33GFL-001437,P1-33GFL-001612,P1-33GFL-001426,P1-33GFL-001473,P1-33GFL-001564,P1-33GFL-001428,P1-33GFL-001449,P1-33GFL-001586,P1-33GFL-001476,P1-33GFL-001479,P1-33GFL-001431,P1-33GFL-001640,P1-33GFL-001474,P1-33GFL-001436,P1-33GFL-001432","$1,940,480","362,000",Eric Mugo ,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2023," 19,405 "," 174,643 "," 194,048 "
9981,UNEP,"Global (Angola, Burundi, Benin, Congo, Cote d'Ivoire, Cameroon, Cabo Verde, Egypt, Eritrea, Gabon, Ghana, Guinea, Equatorial Guinea, Guinea-Bissau, Comoros, Madagascar, Mali, Mauritania, Mozambique, Namibia, Niger, Nigeria, Sierra Leone, Sao Tome and Principe, Tanzania, South Africa, Zambia, Congo DR)",Global,GEF Support to UNCCD 2018 national reporting process - Umbrella I,UNCCD II,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,02-Apr-18,15-Feb-18,,,,,$0.00,02-Apr-18,26-Apr-18,23-Aug-19,30-Mar-20,30-Jun-23,,31-Dec-23,1,,"SB-000762.24.33,SB-009985.01.08,SB-009985.01.03,SB-009985.01.23,SB-009985.01.17,SB-009985.01.07,SB-009985.01.05,SB-009985.01.01,SB-009985.01.02,SB-009985.01.04,SB-009985.01.06,SB-009985.01.09,SB-009985.01.11,SB-009985.01.12,SB-009985.01.13,SB-009985.01.14,SB-009985.01.15,SB-009985.01.16,SB-009985.01.19,SB-009985.01.20,SB-009985.01.21,SB-009985.01.22,SB-009985.01.24,SB-009985.01.25,SB-009985.01.26,SB-009985.01.27",S1-32GFL-000639,"P1-33GFL-001485,P1-33GFL-001445,P1-33GFL-001441,P1-33GFL-001448,P1-33GFL-001513,P1-33GFL-001587,P1-33GFL-001530,P1-33GFL-001483,P1-33GFL-001446,P1-33GFL-001424,P1-33GFL-001447,P1-33GFL-001531,P1-33GFL-001440,P1-33GFL-001532,P1-33GFL-001466,P1-33GFL-001471,P1-33GFL-001472,P1-33GFL-001478,P1-33GFL-001557,P1-33GFL-001430,P1-33GFL-001523,P1-33GFL-001435,P1-33GFL-001494,P1-33GFL-001590,P1-33GFL-001588","$1,981,737"," 336,000 ",Eric Mugo ,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2023," 19,817 "," 178,356 "," 198,174 "
10003,UNEP,"Global (Antigua And Barbuda, Barbados, Burkina Faso, Bolivia, Bhutan, Belize, Chile, Colombia, Costa Rica, Dominica, Dominican Republic, Grenada, Guatemala, Guyana, Honduras, Haiti, Jamaica, St. Kitts And Nevis, St. Lucia, Libya, Mongolia, Mexico, Seychelles, Somalia, Suriname, South Sudan, El Salvador, Trinidad and Tobago, Uruguay, St. Vincent and Grenadines, Venezuela)",Global,GEF Support to UNCCD 2018 National Reporting Process-Umbrella III,UNCCD II,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,02-Apr-18,16-Feb-18,,,,,$0.00,02-Apr-18,26-Apr-18,23-Aug-19,30-Mar-20,30-Jun-23,,31-Dec-23,1,,"SB-009985.03.29,SB-009985.03.17,SB-009985.03.24,SB-009985.03.14,SB-009985.03.01, SB-009985.03.11, SB-009985.03.03, SB-009985.03.04, SB-009985.03.05, SB-009985.03.06,SB-009985.03.07, SB-009985.03.08, SB-009985.03.12, SB-009985.03.09, SB-009985.03.10, SB-009985.03.02,SB-009985.03.13,SB-009985.03.15,SB-009985.03.16,SB-009985.03.19,SB-009985.01.28",S1-32GFL-000639,"P1-33GFL-001468,P1-33GFL-001554,P1-33GFL-001519,P1-33GFL-001662,P1-33GFL-001401,P1-33GFL-001443,P1-33GFL-001439,P1-33GFL-001455,P1-33GFL-001556,P1-33GFL-001655","$1,981,735"," 372,000 ",Eric Mugo ,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2023," 19,817 "," 178,356 "," 198,174 "
10030,UNEP,"Global (Azerbaijan, Cuba, Algeria, Ecuador, Ethiopia, Gambia, Cambodia, Kiribati, Lebanon, Lesotho, Morocco, Montenegro, Mauritius, Panama, Peru, Paraguay, Rwanda, Sudan, Senegal, Togo, Tunisia, Turkey, Tuvalu, Uganda, Samoa)",Global,GEF Support to UNCCD 2018 National Reporting Process - Umbrella IV,UNCCD II,Adamou Bouhari,EA,Under Implementation,Land Degradation,Ecosystems Management,02-Apr-18,16-Mar-18,,,,,$0.00,02-Apr-18,26-Apr-18,23-Aug-19,30-Mar-20,30-Jun-23,,31-Dec-23,1,,"SB-009985.03.25,SB-009985.03.28,SB-009985.04.05,SB-009985.04.20,SB-009985.04.03,SB-009985.04.11,SB-009985.04.06,SB-009985.04.16,SB-009985.04.01,SB-009985.04.02,SB-009985.03.30,SB-009985.04.08,SB-009985.04.10,SB-009985.04.12,SB-009985.04.26,SB-009985.04.19,SB-009985.04.22,SB-009985.04.24,SB-009985.04.25",,"P1-33GFL-001443,P1-33GFL-001439,P1-33GFL-001455,P1-33GFL-001556,P1-33GFL-001655,P1-33GFL-001638,P1-33GFL-001639,P1-33GFL-001553,P1-33GFL-001442,P1-33GFL-001592,P1-33GFL-001486,P1-33GFL-001533","$1,598,174"," 300,000 ",Eric Mugo ,George Saddimbah,Linda Choge,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2023," 15,982 "," 143,836 "," 159,817 "
10050,UNEP,"Regional (Armenia, Azerbaijan, Georgia)",Europe,Upscaling of Global Forest Watch in Caucasus Region,Upscaling Global Forest Watch,Ersin Esen,MSP,Under Implementation,Biodiversity,Ecosystem Management,18-May-18,,18-May-18,,,SB-010894,"$27,399.00",,04-Mar-20,05-Mar-20,30-Sep-22,,,30-Sep-23,,30-Sep-23,SB-010894.02,S1-32GFL-000618,,"$972,604"," 4,460,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,09/30/2022," 9,726 "," 87,534 "," 97,260 "
10158,UNEP,Libya,Africa,Management Support and Expansion of Marine Protected Areas in Libya,,Victoria Luque,MSP,CEO Endorsed,Biodiversity,Ecosystems Management,,,,,,,,,,,,,,,,,,,,"$1,376,147"," 5,972,611 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,12/30/1899," 13,761 "," 123,853 "," 137,615 "
10161,UNEP,Nauru,Asia Pacific,Ecosystem Restoration and Sustainable Land Management to improve livelihoods and protect biodiversity in Nauru,,Johan Robinson,FSP,PIF Approved,"Biodiversity, Land Degradation",Ecosystems Management,20-Nov-19,,,21-Mar-20,31-Dec-21,,,,,,,,,,,,SB-010894,,,"$3,502,968"," 22,298,238 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,,,,GFL,Biodiversity and Land Branch (BLB),Prodoc and CEO Endorsement submitted to GEF Sec for review and approval ,12/30/1899," 35,030 "," 315,267 "," 350,297 "
