ProductionProcess,ImpactDriver,Justification
Cultivos herbáceos irrigados a pequeña escala,Contaminantes del agua,"El uso de herbicidas y pesticidas para cultivos herbáceos contamina el ambiente de manera significativa, en particular los cursos de agua cercanos (agua superficial y agua subterránea) y los suelos. "
Cultivos herbáceos irrigados a pequeña escala,Contaminantes del suelo,"El uso de herbicidas y pesticidas para cultivos herbáceos contamina el ambiente de manera significativa, en particular los suelos."
Ganadería a pequeña escala (carne de vacuno y productos lácteos),Uso de agua,"La producción de carne de vacuno y de productos lácteos genera una huella hídrica significativa. Por ejemplo, se estima que la producción lechera utiliza 1,000 litros de agua por litro de leche en toda la cadena de suministro. La extracción del agua (por ejemplo, para la producción de carne de vacuno o para sustentar a las vacas lecheras y mantener sus pastizales) puede contribuir al estrés hídrico local. Cuando esto coincide con condiciones climáticas adversas, puede aumentar el riesgo de sequías."
Ganadería a pequeña escala (carne de vacuno y productos lácteos),Uso de ecosistema terrestre,"Extensas áreas de terreno se despejan y acondicionan para la crianza de ganado de carne de vacuno y lechero. La crianza de ganado vacuno para la producción de carne de vacuno está ligada a la agricultura de cultivos usados en la alimentación, tales como la soya. "
Ganadería a pequeña escala (carne de vacuno y productos lácteos),Emisiones de GEI,"Las emisiones de gas de efecto invernadero, en particular el metano, procedentes de las explotaciones de carne de vacuno y de productos lácteos aumentan los niveles de contaminación atmosférica. "
Ganadería a pequeña escala (carne de vacuno y productos lácteos),Contaminantes del agua,"De no tratarse, las escorrentías provenientes de las explotaciones de carne de vacuno y de productos lácteos (por ejemplo, de nutrientes y estiércol) aumentan significativamente la contaminación de los cursos de agua. "
Ganadería a pequeña escala (carne de vacuno y productos lácteos),Contaminantes del suelo,"De no tratarse, las escorrentías provenientes de las explotaciones de carne de vacuno y de productos lácteos (por ejemplo, de nutrientes y estiércol) aumentan significativamente la contaminación de los suelos. La explotación ganadera y lechera acelera significativamente la erosión de los suelos a nivel global."
Cultivos herbáceos de secano a pequeña escala,Uso de ecosistema terrestre,La expansión agrícola en áreas que dependen del agua de lluvia como fuente de agua conduce a la conversión y degradación de hábitats naturales. Las malas prácticas de manejo en sistemas agrícolas de secano aumentan la erosión de los suelos y reducen su humedad. Los cultivos herbáceos de secano pueden reducir la severidad de las inundaciones cuando se adoptan prácticas apropiadas de gestión de suelos.
Cultivos herbáceos de secano a pequeña escala,Uso de otros recursos,La selección preferente de determinadas especies de cultivos para atender la demanda del consumidor reduce la diversidad genética.
Cultivos herbáceos de secano a pequeña escala,Contaminantes del agua,"El uso de herbicidas y pesticidas en cultivos herbáceos contamina el ambiente de manera significativa, en particular los cursos de agua cercanos (agua superficial y subterránea) y los suelos. "
Cultivos herbáceos de secano a pequeña escala,Contaminantes del suelo,"El uso de herbicidas y pesticidas en cultivos herbáceos contamina el ambiente de manera significativa, en particular los suelos."
Suministro de energía solar,Uso de agua,"Determinados tipos de tecnologías de generación de energía termosolar requieren grandes cantidades de agua para su enfriamiento, lo que da lugar a una considerable huella hídrica. "
Suministro de energía solar,Uso de ecosistema terrestre,"Los parques de energía solar (fotovoltaica y termosolar) utilizan la tierra, lo que altera los hábitats. La gravedad de este impacto depende del tipo de tierra que se convierta para crear el parque. La huella de un parque solar típico se estima en 22.5-25.9 m2/GWh. Los parques solares incluyen con frecuencia una valla u otra barrera en todo su perímetro, que puede afectar el movimiento de las especies y provocar la fragmentación del hábitat. Puede ocurrir compactación del suelo como resultado de la instalación de parques solares, lo que puede causar un aumento de la erosión y las escorrentías."
Suministro de energía solar,Contaminantes del agua,"Algunas veces se emplean sustancias potencialmente tóxicas o peligrosas cuando se construyen parques termosolares, las mismas que pueden causar contaminación a nivel local. "
Suministro de energía solar,Contaminantes del suelo,"Algunas veces se emplean sustancias potencialmente tóxicas o peligrosas cuando se construyen parques termosolares, las mismas que pueden causar contaminación a nivel local. "
Procesamiento de sólidos,Emisiones de GEI,"Los posibles contaminantes del aire asociados a gases de efecto invernadero pueden incluir dióxido de carbono, óxidos de nitrógeno, hexafluoruros de azufre y dióxido de sulfuro. "
Procesamiento de sólidos,Contaminantes atmosféricos no GEI,"Los posibles contaminantes del aire no asociados a gases de efecto invernadero pueden incluir monóxido de carbono, plomo, compuestos orgánicos volátiles (COV) y material particulado (MP). "
Procesamiento de sólidos,Contaminantes del agua,"Podría descargarse agua de proceso, transportando agua contaminada hacia los sistemas de agua natural."
Procesamiento de sólidos,Contaminantes del suelo,"La tierra en los sitios podría estar contaminada con sustancias nocivas tales como aceites y alquitranes, metales pesados, asbestos y productos químicos. "
Producción de acero,Uso de agua,Se utiliza agua para el enfriamiento del coque de carbón en los procesos de producción. La extracción de agua a gran escala de los acuíferos subterráneos puede favorecer el aumento de la gravedad y/o la frecuencia de las sequías.
Producción de acero,Emisiones de GEI,"La producción de acero es intensiva en energía y utiliza una gran cantidad de coque de carbón y gas natural, que emiten gases de efecto invernadero a la atmósfera. Además, las impurezas y escorias de desechos emiten dióxido de azufre y sulfuro de hidrógeno. "
Producción de acero,Residuos sólidos,"Los procesos de producción y fabricación generan grandes volúmenes de desechos sólidos. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Producción de fertilizantes sintéticos,Uso de agua,Se utiliza agua en los procesos de enfriamiento (proceso de nitrofosfato) debido a la naturaleza exotérmica de las reacciones en la fase de neutralización. La extracción del agua puede tener un impacto en las fuentes de agua subterránea y superficial.
Producción de fertilizantes sintéticos,Emisiones de GEI,El proceso Haber emite óxidos de nitrógeno. La trituración de roca fosfórica para su uso en el proceso Odda (proceso de nitrofosfato) requiere un consumo de energía y combustible que da lugar a la emisión de dióxido de carbono.
Producción de fertilizantes sintéticos,Contaminantes atmosféricos no GEI,"En las inmediaciones de las plantas de producción pueden formarse amoníaco y vapores ácidos (proceso de nitrofosfato), que pueden causar daños a la vegetación. "
Producción de fertilizantes sintéticos,Contaminantes del agua,"El proceso Haber emite óxidos de nitrógeno, los cuales aumentan la probabilidad de una lluvia ácida."
Producción de fibra sintética,Uso de agua,"Las plantas y procesos de fabricación usan agua en sus operaciones de producción. Sin embargo, se utiliza menos agua que en la producción de fibra natural. "
Producción de fibra sintética,Contaminantes atmosféricos no GEI,"Los procesos de fabricación generan materiales residuales de producción (MARP), que incluyen emisiones gaseosas. Se pueden producir otras formas de contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibra sintética,Contaminantes del agua,"Los procesos de fabricación generan materiales residuales de producción (MARP), que incluyen líquidos. Se pueden producir otras formas de contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibra sintética,Contaminantes del suelo,"Se puede producir contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. "
Producción de fibra sintética,Residuos sólidos,"Los procesos de fabricación producen materiales residuales de producción (MARP), que incluyen materiales de desecho, algunos de los cuales se reutilizan o reciclan. "
Servicios de telecomunicaciones e inalámbricos,Uso de ecosistema terrestre,"Los servicios de telecomunicaciones inalámbricas, a través de las antenas y estaciones base que utilizan, pueden provocar la modificación del hábitat (pérdida de vegetación, suelo y otra cobertura del suelo). El uso de torres de alta tensión puede provocar la pérdida de vegetación y árboles a lo largo de las líneas aéreas. Los árboles y la vegetación se retiran por razones de seguridad eléctrica. "
Servicios de telecomunicaciones e inalámbricos,Contaminantes del agua,"Los postes de servicio público por lo general están hechos de madera y se tratan con productos químicos para proteger la madera contra insectos y hongos. Cuando los postes se eliminan, estos químicos pueden filtrarse a las aguas subterráneas. "
Servicios de telecomunicaciones e inalámbricos,Residuos sólidos,"Los edificios de oficinas asociados con la prestación de servicios generan grandes volúmenes de desechos sólidos que incrementan los desechos sólidos municipales. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Producción de tabaco,Uso de agua,"Los procesos de producción de tabaco requieren grandes cantidades de agua (estimadas en un rango de 2,720 y 5,140 m3), lo que aumenta la extracción del agua a nivel local."
Producción de tabaco,Uso de ecosistema terrestre,"Los procesos de producción de tabaco requieren grandes cantidades de madera, lo que causa un aumento directo en la deforestación y la conversión de hábitats para satisfacer la demanda. "
Producción de tabaco,Uso de otros recursos,La selección preferente de determinadas especies de plantas de tabaco para cumplir con las demandas del consumidor reduce la diversidad genética.
Producción de tabaco,Emisiones de GEI,Las emisiones de gas de efecto invernadero procedentes de la quema de madera durante los procesos de curado producen contaminación atmosférica.
Producción de tabaco,Contaminantes del agua,"La producción de tabaco genera grandes cantidades de desechos líquidos y sólidos contaminados con nicotina y productos químicos, lo que aumenta los niveles de contaminación ambiental. "
Producción de tabaco,Contaminantes del suelo,"La producción de tabaco genera grandes cantidades de desechos líquidos y sólidos contaminados con nicotina y productos químicas, lo que aumenta los niveles de contaminación ambiental. "
Producción de llantas y caucho,Uso de agua,"Los procesos de fabricación de neumáticos y caucho requieren grandes cantidades de agua, la cual proviene de fuentes de agua natural. "
Producción de llantas y caucho,Contaminantes atmosféricos no GEI,"La producción de neumáticos genera olores, emisiones de polvo y emisiones de solventes."
Producción de llantas y caucho,Contaminantes del agua,Los ríos pueden contaminarse con los efluentes provenientes de los molinos de caucho.
Producción de llantas y caucho,Residuos sólidos,La producción de neumáticos genera desechos.
Producción de llantas y caucho,Perturbaciones,La producción de neumáticos genera olores y ruidos.
Vulcanización,Uso de agua,"Se emplea agua para fines de enfriamiento, lavado y purga de calderas en diversos aspectos del proceso de producción. La extracción de agua a gran escala de acuíferos de agua subterránea puede contribuir a aumentar la probabilidad y/o severidad de las sequías. "
Vulcanización,Emisiones de GEI,"La vulcanización ocurre a 140 grados Celsius y su costo de energía da lugar a la liberación de gases de efecto invernadero a la atmósfera. La producción de energía in situ contribuye directamente a las emisiones de gases de efecto invernadero. Cuando la energía se obtiene de las empresas de servicios públicos, ello representa un impacto bajo los respectivos procesos de producción de energía."
Vulcanización,Contaminantes atmosféricos no GEI,"Los procesos de vulcanización emiten tireno, tolueno, etilbenceno y varios oligómeros de 1,3-butadieno."
Vulcanización,Contaminantes del agua,"Los desechos pueden contaminarse con compuestos inorgánicos y a base de aceite, los cuales pueden degradar los sistemas localizados de agua subterránea y de superficie como resultado de su liberación accidental y/o disposición inadecuada. "
Vulcanización,Residuos sólidos,"Los procesos de producción y fabricación generan grandes volúmenes de desechos sólidos. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)",Uso de agua,"La distribución de agua a los usuarios finales (personas naturales y entidades comerciales, industriales o agrícolas) contribuye a la extracción del agua, ya que esta es retirada directamente de las fuentes de agua dulce (por ejemplo, acuíferos subterráneos y cursos de agua superficial). Esto puede tener impactos asociados en los hábitats y ecosistemas sensibles si los niveles de extracción superan un umbral sostenible (dependiente del lugar). A nivel local, la extracción del agua para su distribución puede competir con la agricultura y acuicultura intensivas "
"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)",Uso de ecosistema terrestre,"El agua distribuida a los usuarios finales (personas naturales y entidades comerciales, industriales o agrícolas) causa impactos en los hábitats y ecosistemas sensibles si los niveles de extracción superan un umbral sostenible (dependiente del lugar). A nivel local, la extracción del agua para su distribución puede competir con la agricultura y acuicultura intensivas. "
"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)",Uso de ecosistema de agua dulce,"La extracción del agua para su distribución puede tener un impacto negativo en hábitats y ecosistemas sensibles si los niveles de extracción superan un umbral sostenible (dependiente del lugar). Los mecanismos de retiro de agua que se emplean para recolectar agua para su distribución pueden dañar o matar a las especies acuáticas. La extracción del agua para su distribución puede ocasionar el hundimiento del terreno, lo que puede producir impactos en los ecosistemas de agua dulce. "
"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)",Contaminantes del agua,"La distribución de agua a los usuarios finales (personas naturales y entidades comerciales, industriales o agrícolas) contribuye a la extracción del agua, ya que esta es retirada directamente de las fuentes de agua dulce (por ejemplo, acuíferos subterráneos y cursos de agua superficial). Esto puede tener impactos asociados en los hábitats y ecosistemas sensibles si los niveles de extracción superan un umbral sostenible (dependiente del lugar). A nivel local, la extracción del agua para su distribución puede competir con la agricultura y acuicultura intensivas. "
"Servicios de agua (por ejemplo, aguas residuales, tratamiento y distribución)",Contaminantes del suelo,Las descargas accidentales de aguas residuales al ambiente terrestre pueden provocar la contaminación de pozos y la propagación de olores.
Suministro de energía eólica,Uso de ecosistema terrestre,La construcción de parques eólicos terrestres ocasiona la modificación de hábitats en el ambiente terrestre.
Suministro de energía eólica,Uso de ecosistema de agua dulce,La construcción de parques eólicos terrestres puede ocasionar la modificación de hábitats en ambientes de agua dulce.
Suministro de energía eólica,Uso de ecosistema marino,La construcción de parques eólicos marinos ocasiona la modificación de hábitats en el ambiente marino.
Suministro de energía eólica,Contaminantes del agua,Las actividades de mantenimiento pueden originar contaminación por aceite u otros productos de desecho.
Suministro de energía eólica,Perturbaciones,"La contaminación acústica durante la fase de construcción puede llegar hasta los 80 km en el ambiente marino. Las lesiones o la muerte por colisión con las hélices de las turbinas son comunes, especialmente en aves y murciélagos. La construcción de turbinas puede perturbar el comportamiento reproductivo y de forrajeo de las aves y, si se elige una ubicación inapropiada, puede destruir hábitats. Se ha registrado perturbación de aves en proceso de reproducción o forrajeo a una distancia de hasta 800 m alrrededor de los aerogeneradores individuales."
